Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date
2021-08-20,Terengganu,39,29,74.36,19,58,32.76,
2021-08-20,W.P. Kuala Lumpur,220,217,98.64,152,224,67.86,
2021-08-20,W.P. Labuan,18,0,0,0,11,0,
2021-08-20,W.P. Putrajaya,20,19,95,17,36,47.22,
2021-08-21,Johor,108,125,115.74,89,173,51.45,
2021-08-21,Kedah,101,151,149.5,58,102,56.86,
2021-08-21,Kelantan,64,72,112.5,44,122,36.07,
2021-08-21,Melaka,96,74,77.08,33,67,49.25,
2021-08-21,Negeri Sembilan,88,37,42.05,26,75,34.67,
2021-08-21,Pahang,61,41,67.21,28,58,48.28,
2021-08-21,Perak,90,96,106.67,63,103,61.17,
2021-08-21,Perlis,11,8,72.73,4,19,21.05,
2021-08-21,Pulau Pinang,69,70,101.45,57,72,79.17,
2021-08-21,Sabah,123,152,123.58,67,118,56.78,
2021-08-21,Sarawak,120,51,42.5,14,148,9.46,
2021-08-21,Selangor,348,347,99.71,211,432,48.84,
2021-08-21,Terengganu,39,29,74.36,20,58,34.48,
2021-08-21,W.P. Kuala Lumpur,220,216,98.18,153,224,68.3,
2021-08-21,W.P. Labuan,18,0,0,0,11,0,
2021-08-21,W.P. Putrajaya,20,18,90,17,36,47.22,
2021-08-22,Johor,108,109,100.93,91,173,52.6,
2021-08-22,Kedah,101,128,126.73,43,102,42.16,
2021-08-22,Kelantan,64,73,114.06,45,122,36.89,
2021-08-22,Melaka,96,78,81.25,35,67,52.24,
2021-08-22,Negeri Sembilan,88,36,40.91,31,75,41.33,
2021-08-22,Pahang,61,44,72.13,34,58,58.62,
2021-08-22,Perak,90,93,103.33,63,103,61.17,
2021-08-22,Perlis,11,8,72.73,4,19,21.05,
2021-08-22,Pulau Pinang,69,71,102.9,56,72,77.78,
2021-08-22,Sabah,123,156,126.83,64,118,54.24,
2021-08-22,Sarawak,120,56,46.67,13,148,8.78,
2021-08-22,Selangor,348,346,99.43,216,432,50,
2021-08-22,Terengganu,39,28,71.79,15,58,25.86,
2021-08-22,W.P. Kuala Lumpur,220,209,95,146,224,65.18,
2021-08-22,W.P. Labuan,18,0,0,0,11,0,
2021-08-22,W.P. Putrajaya,20,18,90,16,36,44.44,
2021-08-23,Johor,108,108,100,89,173,51.45,
2021-08-23,Kedah,101,133,131.68,56,102,54.9,
2021-08-23,Kelantan,64,70,109.38,31,122,25.41,
2021-08-23,Melaka,96,78,81.25,38,67,56.72,
2021-08-23,Negeri Sembilan,88,40,45.45,23,75,30.67,
2021-08-23,Pahang,61,42,68.85,33,58,56.9,
2021-08-23,Perak,90,95,105.56,61,103,59.22,
2021-08-23,Perlis,11,9,81.82,5,19,26.32,
2021-08-23,Pulau Pinang,69,71,102.9,54,72,75,
2021-08-23,Sabah,128,169,132.03,69,118,58.47,
2021-08-23,Sarawak,120,62,51.67,17,148,11.49,
2021-08-23,Selangor,348,342,98.28,213,432,49.31,
2021-08-23,Terengganu,39,28,71.79,17,58,29.31,
2021-08-23,W.P. Kuala Lumpur,220,198,90,123,224,54.91,
2021-08-23,W.P. Labuan,18,0,0,0,11,0,
2021-08-23,W.P. Putrajaya,20,16,80,15,36,41.67,
2021-08-24,Johor,108,114,105.56,95,173,54.91,
2021-08-24,Kedah,101,141,139.6,53,102,51.96,
2021-08-24,Kelantan,64,76,118.75,33,122,27.05,
2021-08-24,Melaka,96,73,76.04,29,67,43.28,
2021-08-24,Negeri Sembilan,88,32,36.36,14,75,18.67,
2021-08-24,Pahang,61,42,68.85,28,58,48.28,
2021-08-24,Perak,90,94,104.44,63,103,61.17,
2021-08-24,Perlis,11,9,81.82,4,19,21.05,
2021-08-24,Pulau Pinang,69,66,95.65,59,72,81.94,
2021-08-24,Sabah,128,179,139.84,69,118,58.47,
2021-08-24,Sarawak,120,64,53.33,18,148,12.16,
2021-08-24,Selangor,348,336,96.55,197,432,45.6,
2021-08-24,Terengganu,39,24,61.54,14,58,24.14,
2021-08-24,W.P. Kuala Lumpur,220,216,98.18,135,224,60.27,
2021-08-24,W.P. Labuan,18,0,0,0,11,0,
2021-08-24,W.P. Putrajaya,20,19,95,17,36,47.22,
2021-08-25,Johor,108,114,105.56,92,173,53.18,
2021-08-25,Kedah,115,137,119.13,52,103,50.49,
2021-08-25,Kelantan,64,77,120.31,46,122,37.7,
2021-08-25,Melaka,96,72,75,29,67,43.28,
2021-08-25,Negeri Sembilan,88,30,34.09,14,75,18.67,
2021-08-25,Pahang,61,41,67.21,23,58,39.66,
2021-08-25,Perak,90,97,107.78,62,103,60.19,
2021-08-25,Perlis,11,8,72.73,5,19,26.32,
2021-08-25,Pulau Pinang,69,69,100,56,72,77.78,
